id_lectura,fecha_hora,edificio,ciudad,tipo_edificio,superficie_m2,temperatura_exterior_c,humedad_relativa_pct,radiacion_solar_wm2,ocupacion_personas,hvac_activo,modo_hvac,consumo_kwh,generacion_solar_kwh,periodo_tarifario,coste_eur
1691,2025-08-05 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,27.6,56.4,821.2,158,1,Refrigeracion,167.82,212.54,Llano,-2.86
1318,2025-08-01 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,23.7,72.7,291.2,14,0,Apagado,35.48,35.1,Llano,0.06
89,2025-03-30 00:00:00,Torre Atlantida,Madrid ,Oficinas,12500,9.6,71.3,0.0,14,0,Apagado,24.58,0.0,Valle,2.17
1559,2025-03-26 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,18.3,66.6,514.0,164,0,Apagado,155.61,145.69,Llano,1.36
1979,2025-05-17 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,25.5,77.9,,108,1,Refrigeracion,27.13,0.0,Valle,2.34
1916,2025-03-14 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,13.4,78.1,0.0,292,1,Calefaccion,96.49,0.0,Punta,20.75
1114,2025-01-09 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,12.1,87.0,0.0,0,0,Apagado,44.34,0.0,Llano,6.87
1043,2025-11-01 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,18.9,63.3,453.9,392,0,Apagado,189.17,93.5,Valle,10.7
525,2025-06-06 00:00:00,Campus Norte,Bilbao,Educativo,8600,17.8,83.9,0.0,123,0,Apagado,24.88,0.0,Valle,2.3
1569,2025-04-07 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,5.5,68.7,0.0,66,1, CALEFACCION,123.54,0.0,Valle,10.6
1917,2025-03-18 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,11.8,81.7,0.0,304,1,Calefaccion,87.69,0.0,Valle,7.65
479,2025-04-19 14:00:00,Campus Norte,Bilbao,Educativo,8600,17.4,81.1,486.3,0,0,Apagado,7.35,36.59,Valle,-1.02
920,2025-06-30 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,29.8,54.0,63.8,423,1,Refrigeracion,311.73,12.48,Punta,69.13
1797,2025-11-21 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,4.0,76.1,0.0,51,1,Calefaccion,142.42,0.0,Valle,15.34
27,2025-01-25 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,10.1,73.7,350.3,0,FALSE,Apagado,15.8,53.95,Valle,-1.49
1651,2025-06-26 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,32.0,51.6,714.4,,1,Refrigeracion,177.29,186.33,Llano,-0.52
604,2025-08-21 20:00:00,Campus Norte,Bilbao,Educativo,8600,20.4,84.3,0.0,5,0,Apagado,11.91,0.0,Punta,2.96
121,2025-05-01 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,13.5,60.3,0.0,32,0, APAGADO,,0.0,Valle,2.07
820,2025-03-22 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,18.0,76.6,0.0,418,0,Apagado,294.36,0.0,Valle,25.7
619,2025-09-06 14:00:00,Campus Norte,Bilbao,Educativo,8600,20.7,77.1,572.2,0,0,Apagado,7.17,43.83,Valle,-1.53
1524,2025-02-18 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,10.5,70.3,0.0,173,1,Calefaccion,250.66,0.0,Punta,58.43
1661,2025-07-08 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,21.9,64.6,,44,0,Apagado,106.24,0.0,Valle,9.99
2068,2025-08-13 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,24.2,77.6,0.0,328,1,Refrigeracion,108.46,0.0,Punta,27.27
268,2025-09-22 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,,52.1,0.0,47,0,Apagado,34.66,0.0,Punta,9.26
1540,2025-03-06 20:00:00,Planta Logistica R2, Zaragoza,Industrial,26000,9.1,75.6,0.0,158,Si,Calefaccion,265.28,0.0,Punta,58.41
705,2025-12-03 00:00:00,Campus Norte,Bilbao,Educativo,8600,7.2,88.7,0.0,62,1,Calefaccion,26.08,0.0,Valle,2.8
1031,2025-10-20 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,25.3,59.1,643.0,389,TRUE,Refrigeracion,198.54,121.32,Llano,13.45
